id,query,task_type,intent_action,target_section,target_pages,difficulty,trap_type,answerable,generated_answer,required_nuggets,matched_required_nuggets,missing_required_nuggets,required_nugget_recall,optional_nuggets,matched_optional_nuggets,forbidden_claims,hit_forbidden_claims,forbidden_claim_pass,refusal_pass,expected_step_order,step_positions,procedure_order_pass,grounding_pass,expected_image_pages,retrieved_image_pages,forbidden_image_pages,forbidden_image_hit_pages,image_recall,image_precision,forbidden_image_pass,image_order_pass,step_image_binding_pass,step_image_binding_failures,image_pass,image_eval_required,final_pass,latency_ms,error
adv2_001,气缸头装配部件清单里凸轮轴座盖和φ8×14空心定位销的数量各是多少？,inventory,清单,4.1 气缸头装配部件清单,9,hard,inventory_specific_rows;large_table,True,"根据手册第9页“4.1 气缸头装配部件清单”，与问题匹配的清单条目如下：
5. φ8×14 空心定位销；数量：14；备注：包括凸轮轴座盖用 12 个
7. 凸轮轴座盖；数量：5；备注：—",φ8×14空心定位销数量14；凸轮轴座盖数量5,φ8×14空心定位销数量14；凸轮轴座盖数量5,,1.0,,,定位销数量12；凸轮轴座盖数量4；未提供清单,,True,True,,,True,True,,9,,,0.0,0.0,True,True,True,,True,False,True,10246,
adv2_002,离合器、机油泵装配零件清单里初级驱动齿轮和换档星形凸轮的序号是多少？,inventory,清单,6.2 离合器、机油泵装配零件清单,24,hard,cross_page;inventory_completeness,True,"根据手册第23页“6.2 离合器、机油泵装配零件清单”，与问题匹配的清单条目如下：
37. 初级驱动齿轮；数量：1
43. 换档星形凸轮；数量：1",初级驱动齿轮 37；换档星形凸轮 43,初级驱动齿轮 37；换档星形凸轮 43,,1.0,,,未检索到清单；初级驱动齿轮 32,,True,True,,,True,True,,23,,,0.0,0.0,True,True,True,,True,False,True,11496,
adv2_003,右曲轴箱盖装配部件清单里离合器弹簧和离合器从动盘的数量分别是多少？,inventory,清单,6.1 右曲轴箱盖装配部件清单,23,hard,cross_page;inventory_specific_rows,True,"根据手册第22页“6.1 右曲轴箱盖装配部件清单”，右曲轴箱盖装配所用部件如下（按序号排列）：
1. M6×30 六角法兰面螺栓（环保彩锌）；数量：2
2. M6×45 六角法兰面螺栓（环保彩锌）；数量：6；备注：8# T杆或套筒
3. M6×60 六角法兰面螺栓（环保彩锌）；数量：1；备注：预紧力 5±1 N·m；扭矩：5±1 N·m
4. M6×75 六角法兰面螺栓（环保彩锌）；数量：1；备注：校正力 12±1.5 N·m；扭矩：12±1.5 N·m
5. M6×90 六角法兰面螺栓（环保彩锌）；数量：12
6. 离合器拉索支架；数量：1
7. 10.2×21×1 止推垫圈；数量：1
8. 机油尺；数量：1
9. 15×3.1 丙烯酸酯胶 O型圈；数量：1
10. φ8×14 空心定位销；数量：2
11. 右曲轴箱盖垫片；数量：1
12. 6.3×12×1.6 铜垫片；数量：1",离合器弹簧数量4；离合器从动盘数量1,,离合器弹簧数量4；离合器从动盘数量1,0.0,,,离合器弹簧数量1；未提供,,True,True,,,True,False,,22,,,0.0,0.0,True,True,True,,True,False,False,10740,
adv2_004,拆卸磁电机转子离合器分部件时用拉玛拉出后依次取下哪些件？,procedure,拆卸,7.3 磁电机转子离合器分部件/拆卸,31,hard,step_pollution;procedure_order;same_page_multi_subprocess,True,"根据手册第31-32页“7.3 磁电机转子离合器分部件”，原文步骤如下：
1. 拆下减速齿轮。
2. 拆下左曲轴箱盖。
3. 26.2×38×1 止推垫圈 7
30×42×1.4 止推垫圈 11
3. 拆下 M12×1.25×50 六角法兰面螺栓（ 4 ） ，用拉玛将磁电机转子离合器拉出，依次取下：
磁电机转子 6
止推垫圈 7
电起动大齿 8
半圆键 9
滚针轴承 10
4. 拆下电起动过桥齿轮。
注意 ：电起动过桥齿轮上下各有一个垫圈 12 。
检查磁电机转子离合器单向器
2. 顺时针 A 转动起动大齿 ：
磁电机转子离合器与起动大齿应 无相对滑动 ；
否则需更换起动大齿和磁电机转子离合器分部件。
3. 逆时针 B 转动起动大齿 ：
应能 自由转动 ；
否则磁电机转子离合器有故障，必须更换。
安装磁电机转子离合器分部件
8. 26.2×38×1 止推垫圈
滚针轴承
半圆键
电起动大齿
9. 26.2×38×1 止推垫圈
磁电机转子离合器
10. 12.3×26×3 垫片
M12×1.25×50 六角法兰面螺栓",拆下M12×1.25×50六角法兰面螺栓后用拉玛将磁电机转子离合器拉出；依次取下磁电机转子、止推垫圈、电起动大齿、半圆键、滚针轴承；拆下电起动过桥齿轮,拆下M12×1.25×50六角法兰面螺栓后用拉玛将磁电机转子离合器拉出；依次取下磁电机转子、止推垫圈、电起动大齿、半圆键、滚针轴承；拆下电起动过桥齿轮,,1.0,,,安装减速齿轮；先拆电起动过桥齿轮再拉出磁电机转子,,True,True,用拉玛将磁电机转子离合器拉出；拆下电起动过桥齿轮,94;140,True,True,,31,,,0.0,0.0,True,True,True,,True,False,True,19053,
adv2_005,安装机油泵和拆卸机油泵是不是同一个步骤？安装时依次放入哪些件？,procedure,安装,6.5 机油泵/安装机油泵,28,hard,same_page_multi_subprocess;opposite_action;no_embedded_image,True,"根据手册第28页“6.5 机油泵”，原文相关内容如下：
1. 松开螺栓，依次取下：
3 颗螺栓 28
机油泵
两个定位销
油泵座垫
检查机油泵
1. 拨动机油泵从动齿轮，检查是否能自由转动：
→
若不能自由转动 更换机油泵。
2. 检查油泵座垫：
若变形或开裂 → 更换。
3. 检查 O 型圈：
若开裂或硬化 → 更换。
安装机油泵
1. 依次放入：
两个 φ 8 定位销
机油泵座垫
机油泵
φ
3 个 10 定位销
3 个 O 型圈
3 颗螺栓（其中 M6×30 螺栓需安装铜垫）
2. 锁紧螺栓并用定扭扳手校验扭力。",安装时依次放入两个φ8定位销、机油泵座垫、机油泵、3个φ10定位销、3个O型圈、3颗螺栓；其中M6×30螺栓需安装铜垫,安装时依次放入两个φ8定位销、机油泵座垫、机油泵、3个φ10定位销、3个O型圈、3颗螺栓；其中M6×30螺栓需安装铜垫,,1.0,,,安装和拆卸是同一步骤；拆卸时放入定位销,,True,True,,,True,True,,,,,1.0,1.0,True,True,True,,True,False,True,17313,
adv2_006,拆卸离合器和安装离合器在同一页，安装时第一个放入的部件是什么？,procedure,安装,6.4/安装离合器,27,hard,same_page_multi_subprocess;opposite_action,True,"根据手册第25-27页“6.4 右曲轴箱盖与离合器”，原文步骤如下：
1. 分别对角松开右曲轴箱盖螺栓 1 ，依次取下：
螺栓 1
拉索支架 2
右曲轴箱盖
止推垫圈 3
纸垫片以及定位销。
注意 ：取出右曲轴箱盖之前，发动机应倾倒放置，以防水泵轴止推垫圈 3 脱落。
2. 注意 ：取出右曲轴箱盖之前，发动机应倾倒放置，以防水泵轴止推垫圈 3 脱落。
1. 检查曲轴油封：
若损坏或内环硬化，则更换缺陷的油封（此处油封有两个，拆出的油封不能再次使用）。
4. a. A 孔周围 3mm 内不得有平面密封胶。
b. B 段密封胶需要均匀抹薄、抹平。
c. D 段范围内直接涂抹平面密封硅胶。
拆卸离合器
1. 取下顶杆轴套组件 9 ，对角松开锁紧螺栓 11 ，取出离合器举升板 12 、离合器弹簧 13 。
2. 将离合器固定好，松开离合器螺母 14 ，依次取出：
防松垫圈 15
止推垫圈 16
离合器从动盘分组件
止推垫圈 23
离合器主动盘
滚针轴承
离合器衬套
衬套止推垫
安装离合器
1. 检查离合器各部件磨损情况：
磨损严重者需更换缺陷部件；
检查离合器摩擦片，如发黑严重，则需更换一套新摩擦片；
检查 125×1.5 离合器从动片是否平整，若不平整则须更换。",安装离合器时依次放入的第一个部件是离合器衬套止推垫27；然后是离合器衬套26、滚针轴承25,安装离合器时依次放入的第一个部件是离合器衬套止推垫27,然后是离合器衬套26、滚针轴承25,0.5,,,第一个放入防松垫圈15；先放离合器螺母,,True,True,,,True,False,,27,,,0.0,0.0,True,True,True,,True,False,False,12086,
adv2_007,发动机装配部件清单里后平叉轴的规格和扭矩是多少？,inventory,清单,3.1 发动机装配部件清单,6,medium,table_procedure_mixed;inventory_exactness,True,"根据手册第6页“3.1 发动机装配部件清单”，与问题匹配的清单条目如下：
3. 后平叉轴 φ14×310（达克罗）；数量：1；备注：19# 套筒 / 110 ± 5 N·m；扭矩：110±5 N·m",后平叉轴φ14×310；19#套筒；110±5 N·m,后平叉轴φ14×310；19#套筒；110±5 N·m,,1.0,,,65±5 N·m；后平叉轴数量2,,True,True,,,True,True,,6,,,0.0,0.0,True,True,True,,True,False,True,7281,
adv2_008,安装第一道气环时R标记朝哪个方向？,procedure,安装,5.6 安装活塞环,22,hard,cross_page;directionality;text_displacement,True,"根据手册第21页“5.6 安装活塞环”，原文步骤如下：
4. 安装第一道气环：",第一道气环装入活塞一环环槽内；R标记面朝活塞顶部,,第一道气环装入活塞一环环槽内；R标记面朝活塞顶部,0.0,,,R标记朝下；2R标记面朝活塞顶部,,True,True,,,True,False,,21,,,0.0,0.0,True,True,True,,True,False,False,15617,
adv2_009,安装发动机时加注机油的规格和用量是多少？这一页有配图吗？,procedure,安装,3.3 安装发动机,8,hard,no_embedded_image;hallucinated_image,True,"根据手册第8页“3.3 安装发动机”，原文步骤如下：
1. 按反向顺序安装
安装顺序与拆卸顺序相反。
所有螺栓安装后， 必须使用扭力扳手校验并打紧至规定扭矩 。
2. 安装各类放油 / 放水螺栓
安装 左曲轴箱放油螺栓 、 车架放油螺栓 、 水泵盖放水螺栓 。
拧紧力矩要求 ：
放油螺栓： 25 ± 4 N·m
放水螺栓： 12 ± 1.5 N·m
3. 加注机油
从 发动机右曲轴箱盖加油口 加入：
1600 mL 机油（若未更换机油精滤芯）
1700 mL 机油（若已更换机油精滤芯）
机油规格要求：
粘度： SAE 10W-40 或 SAE 10W-50
质量等级： API SM 级或以上
4. 加注冷却液
向 右水箱 加注冷却液，直至加满。
启动发动机运行 8 ～ 10 秒后关机 。
再次向 右水箱 补液至满。
向 副水箱 加注冷却液，使液面位于 F 线与 L 线之间 。",未更换机油精滤芯加1600 mL；已更换机油精滤芯加1700 mL；粘度SAE 10W-40或SAE 10W-50,未更换机油精滤芯加1600 mL；已更换机油精滤芯加1700 mL；粘度SAE 10W-40或SAE 10W-50,,1.0,,,加1500 mL；API SL,,True,True,,,True,True,,,9;7,,1.0,1.0,True,True,True,,True,True,True,12555,
adv2_010,拆卸初级驱动齿轮时怎么固定曲轴？这一节有没有插图？,procedure,拆卸,6.6 初级驱动齿轮、正时主动链轮,28,hard,no_embedded_image;hallucinated_image,True,"根据手册第28页“6.5 机油泵”，原文步骤如下：
1. 拆卸初级驱动齿轮、正时主动链轮",用17#套筒从左曲轴箱盖上的铝螺塞孔伸入；套在磁电机转子离合器M12×1.25×50螺栓上固定住曲轴,,用17#套筒从左曲轴箱盖上的铝螺塞孔伸入；套在磁电机转子离合器M12×1.25×50螺栓上固定住曲轴,0.0,,,用24#套筒固定曲轴,,True,True,,,True,False,,,30,,1.0,1.0,True,True,True,,True,True,False,12946,
