id,question,golden_chunk_ids,retrieved_chunk_ids,hit_top1,hit_top3,hit_top5,rank,skipped_for_recall,top_k,chapter,question_type,difficulty,answerable,golden_answer,top1_content,retrieved_scores
case_001,火花塞间隙标准是多少？,618bea68:02:txt:0001,618bea68:12:tbl:0001;618bea68:12:tbl:0002;618bea68:31:tbl:0003;618bea68:12:tbl:0000;618bea68:31:tbl:0002;618bea68:12:img:0000;618bea68:31:tbl:0000;618bea68:31:tbl:0004;618bea68:12:txt:0021;618bea68:31:tbl:0001;618bea68:12:txt:0000,False,False,False,,False,5,火花塞,spec,easy,True,火花塞间隙标准值是 0.7 到 0.9 mm。,"表格：第15页表格
气门类型=进气门；标准间隙范围=0.13～0.20 mm",0.683280;0.678354;0.576083;0.673975;0.563647;0.628354;0.526083;0.526083;0.623975;0.513647;0.633280
case_002,火花塞安装时拧紧力矩是多少？,618bea68:02:txt:0002,618bea68:26:tbl:0003;618bea68:26:tbl:0002;618bea68:26:tbl:0001;618bea68:03:tbl:0002;618bea68:06:tbl:0012;618bea68:26:tbl:0000;618bea68:26:tbl:0004;618bea68:03:tbl:0000;618bea68:03:tbl:0001;618bea68:03:tbl:0003;618bea68:06:tbl:0000,False,False,False,,False,5,火花塞,torque,easy,True,火花塞可使用定扭扳手拧紧至 20±2 N·m。,"表格：第34页表格
序号=3；料件名称=M6×90 六角法兰面螺栓（环保彩锌）；数量=2；备注=8# T杆或套筒
预紧力 5±1 N·m
校正力 12±1.5 N·m",0.571528;0.562896;0.559238;0.547408;0.541745;0.521528;0.521528;0.497408;0.497408;0.497408;0.491745
case_003,安装火花塞前需要先预紧几圈？,618bea68:02:txt:0002,618bea68:12:tbl:0001;618bea68:12:tbl:0002;618bea68:03:tbl:0002;618bea68:26:tbl:0003;618bea68:31:tbl:0003;618bea68:12:tbl:0000;618bea68:12:img:0000;618bea68:03:tbl:0000;618bea68:03:tbl:0001;618bea68:03:tbl:0003;618bea68:26:tbl:0000,False,False,False,,False,5,火花塞,procedure,easy,True,将火花塞放入气缸头后顺时针转动 3 圈预紧，然后再转动 1/4 圈。,"表格：第15页表格
气门类型=进气门；标准间隙范围=0.13～0.20 mm",0.517284;0.513120;0.485576;0.471174;0.465246;0.467284;0.463120;0.435576;0.435576;0.435576;0.421174
case_004,拆卸火花塞前要注意什么？,618bea68:02:txt:0006,618bea68:03:tbl:0002;618bea68:12:tbl:0002;618bea68:06:tbl:0018;618bea68:12:tbl:0001;618bea68:06:tbl:0012;618bea68:03:tbl:0000;618bea68:03:tbl:0001;618bea68:03:tbl:0003;618bea68:12:tbl:0000;618bea68:12:img:0000;618bea68:06:tbl:0000,False,False,False,,False,5,火花塞,safety,easy,True,拆卸火花塞前要确保火花塞孔及其周围没有灰尘。,"表格：第4页表格
序号=2；零件名称=正极线螺母；数量=1；工具/扭矩要求=10# 扳手或套筒 / 5 ± 1.5 N·m",0.434894;0.433814;0.423902;0.423630;0.402767;0.384894;0.384894;0.384894;0.383814;0.383814;0.373902
case_005,压缩压力的标准范围是多少？,618bea68:02:txt:0008,618bea68:12:tbl:0002;618bea68:12:tbl:0001;618bea68:12:tbl:0000;618bea68:31:tbl:0001;618bea68:19:tbl:0019;618bea68:12:img:0000;618bea68:12:txt:0021;618bea68:31:tbl:0000;618bea68:31:tbl:0002;618bea68:19:tbl:0005;618bea68:19:tbl:0018,False,False,False,,False,5,火花塞,spec,medium,True,压缩压力标准范围为 1300 到 1900 kPa（1500 r/min）或 500 到 900 kPa（540 r/min）。,"表格：第15页表格
气门类型=排气门；标准间隙范围=0.20～0.30 mm",0.651042;0.640778;0.630832;0.494625;0.575092;0.601042;0.580832;0.444625;0.444625;0.525092;0.525092
case_006,压缩压力高于最大值时应检查哪里？,618bea68:02:txt:0008,618bea68:02:txt:0008;618bea68:02:img:0000;618bea68:07:tbl:0002;618bea68:02:txt:0004;618bea68:08:txt:0004;618bea68:02:txt:0009;618bea68:02:txt:0000;618bea68:02:txt:0002;618bea68:02:txt:0003;618bea68:02:txt:0005;618bea68:02:txt:0006,True,True,True,1,False,5,火花塞,diagnosis,medium,True,应检查气缸头、气门表面和活塞顶部是否有积碳，如有则清除积碳。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.698759;0.577597;0.498383;0.667085;0.573763;0.527597;0.527597;0.648759;0.648759;0.648759;0.648759
case_007,压缩压力低于最小值时怎么判断是不是活塞环问题？,618bea68:02:txt:0008,618bea68:02:txt:0008;618bea68:02:img:0000;618bea68:31:tbl:0000;618bea68:15:txt:0012;618bea68:02:txt:0004;618bea68:02:txt:0009;618bea68:02:txt:0000;618bea68:02:txt:0002;618bea68:02:txt:0003;618bea68:02:txt:0005;618bea68:02:txt:0006,True,True,True,1,False,5,火花塞,diagnosis,hard,True,往火花塞孔倒一勺机油并再次测量；如果压力比加机油前高，说明活塞环磨损或损坏。,"4. 测量压缩压力：
标准压缩压力范围 ：
1300 ～ 1900 kPa （转速： 1500 r/min ）
500 ～ 900 kPa （转速： 540 r/min ）
测量步骤 ：
a. 将油门开到最大处，用起动电机带动发动机转动，直至压力表上的读数稳定下来。
警示 ：在启动发动机之前，将燃油喷射器拆卸下来。
结果分析 ：
若压缩压力高于最大值 ：
检查气缸头、气门表面和活塞顶部是否有积碳。如有，清除积碳。
若压缩压力小于最小值 ：
往火花塞孔倒一勺机油，并再次测量。
若压力比加机油前高 ：活塞环磨损或损坏 → 更换 。
→
若压力等于加机油前 ：活塞、气门、气缸头垫片可能有缺陷 更换 。",0.698815;0.609810;0.545287;0.649023;0.629202;0.559810;0.559810;0.648815;0.648815;0.648815;0.648815
case_008,起动电机较难取下时怎么办？,618bea68:03:txt:0011,618bea68:03:tbl:0004;618bea68:03:tbl:0002;618bea68:03:tbl:0000;618bea68:06:tbl:0018;618bea68:23:tbl:0006;618bea68:03:tbl:0003;618bea68:03:img:0000;618bea68:03:tbl:0001;618bea68:03:txt:0011;618bea68:06:tbl:0000;618bea68:06:tbl:0017,False,False,False,9,False,5,起动电机,procedure,easy,True,如果起动电机较难取下，可用橡胶锤轻轻敲击起动电机辅助拆卸。,"表格：第4页表格
序号=4；零件名称=起动电机；数量=1；工具/扭矩要求=—",0.597048;0.444065;0.538445;0.432143;0.507461;0.547048;0.547048;0.394065;0.488445;0.382143;0.382143
case_009,起动电机轴转动不灵活时怎么处理？,618bea68:04:txt:0001,618bea68:03:tbl:0004;618bea68:31:tbl:0001;618bea68:31:tbl:0002;618bea68:31:tbl:0003;618bea68:03:tbl:0002;618bea68:03:tbl:0000;618bea68:03:tbl:0003;618bea68:03:img:0000;618bea68:31:tbl:0000;618bea68:31:tbl:0004;618bea68:03:tbl:0001,False,False,False,,False,5,起动电机,inspection,easy,True,检查起动电机轴是否转动灵活；若不灵活，应更换起动电机。,"表格：第4页表格
序号=4；零件名称=起动电机；数量=1；工具/扭矩要求=—",0.572943;0.490430;0.458609;0.438614;0.434950;0.522943;0.522943;0.522943;0.440430;0.388614;0.384950
case_010,安装起动电机本体时要对齐什么？,618bea68:04:txt:0003,618bea68:03:tbl:0004;618bea68:03:tbl:0002;618bea68:06:tbl:0018;618bea68:31:tbl:0001;618bea68:31:tbl:0002;618bea68:03:tbl:0000;618bea68:03:tbl:0003;618bea68:03:img:0000;618bea68:03:tbl:0001;618bea68:06:tbl:0000;618bea68:06:tbl:0017,False,False,False,,False,5,起动电机,procedure,easy,True,起动电机头部要对准左盖孔，推入后两个螺栓孔需与箱体螺纹孔对齐。,"表格：第4页表格
序号=4；零件名称=起动电机；数量=1；工具/扭矩要求=—",0.647004;0.510528;0.488968;0.488079;0.484989;0.597004;0.597004;0.597004;0.460528;0.438968;0.438968
